"Device";"#ospf";"#bgp";"#mac";"#arp"
"smdn1-02-2-1";;;"158";"5"
"marse1-cr-sr2";"2";;"54";"1403"
"lcbv-prodag";;;"17";"21"
"slyo-i1-me-1";;;"22";"2"
"lcbv-prodad";;;"17";"29"
"slyo-i4-fe-1";;;"21";"3"
"slyo-prep-me-2";;;"22";"3"
"slyo-prep-me-1";;;"22";"3"
"lyn-57";;;"54";"4"
"lyn-56";;;"54";"3"
"svnx-pfd1-i";;;"54";"3"
"lyn-55";;;"54";"4"
"rob9-sav-cored";;;"97";"78"
"squi-bur1";;;"25";"2"
"slyo-prep-nfs-be-2";;;"22";"2"
"slyo-prep-nfs-be-1";;;"22";"2"
"sqo-7-4";;;"262";"7"
"sqo-7-2";;;"262";"7"
"sqo-7-3";;;"262";"7"
"smdn2-4b-e3-3";;;"210";"8"
"smdn2-4b-e3-4";;;"210";"8"
"fwbron-suprossisfr";;;"5";"14"
"sren-bur";;;"25";"2"
"rob9-sav-coreg";;;"97";"35"
"smdn2-4b-e3-1";;;"210";"8"
"smdn2-4b-e3-2";;;"210";"8"
"smdn2-1a-rc-1";;;"158";"4"
"rcbv-trading-europ";;;"2";"4"
"smdn2-1a-rc-3";;;"158";"4"
"smdn2-1a-rc-2";;;"158";"4"
"fwcbv-cpit2";;;"16";"25"
"sren-pfd1-i1";;;"55";"4"
"fwcbv-cpit1";;;"16";"34"
"slyo-9vod-be-1";;;"22";"2"
"ffed-mg-g";;;"63";"95"
"slyo-i1-nfs-fe-1";;;"22";"2"
"s1c01-save-core-d";;;"54";"4"
"fwcbv-vl2";;;"6";"11"
"fwcbv-vl1";;;"6";"16"
"sdmz-mg-c2";;;"28";"3"
"sdmz-mg-c1";;;"28";"2"
"flbm-ctxt-system";;;;
"scbv-savhg0-1";;;"52";"5"
"slyo-spoke-k1-mg-2";;;"27";"3"
"slyo-9vod-mg-fe-1";;;"22";"2"
"slyo-spoke-k1-mg-1";;;"27";"3"
"scbv-hd0-1";;;"52";"9"
"smar-cr221-3-2";;;"213";"3"
"smar-cr221-3-1";;;"213";"3"
"smar-cr221-3-4";;;"213";"3"
"smar-cr221-3-3";;;"213";"3"
"ffed-fe-g";;;"11";"41"
"smar-cr221-3-5";;;"213";"3"
"svnx-spoke-p5-be-1";;;"21";"2"
"svnx-spoke-p5-be-2";;;"21";"2"
"rcbv-inethg1";;;"55";"9"
"ffed-mg-d";;;"63";"711"
"sami-bur";;;"13";"2"
"sboul-spoke-mg-1";;;"106";"8"
"fwcbv-asait2";;;"9";"31"
"sboul-spoke-mg-2";;;"106";"8"
"fwcbv-asait1";;;"9";"30"
"l9tv-fe-d1";;;"6";"38"
"scgtl-mg-d";;;"28";"2"
"sbron-ncc-1";;;"262";"8"
"l9tv-fe-d2";;;"6";"51"
"sbron-ncc-2";;;"262";"8"
"sbron-ncc-3";;;"262";"8"
"smar2-bur";;;"25";"2"
