"seq-16n-1a6","2"
"fw-fnfg200a-seq-exo-001","80"
"fw-fnfg200a-seq-exo-002","80"
"l9tv-fe-d1","34"
"l9tv-fe-d2","34"
"rc-la-fleche-msc","0"
"ah2-appp-00t201-01bp8610","1"
"ach1glbl61","0"
"ach1glbl60","0"
"flyo-save-pfs-d","1"
"flyo-save-pfs-g","1"
"a8rxlyo002lc7301","8"
"fw-aol1","8"
"rfed-fe-g","12"
"rfed-fe-d","12"
"rc-prologue1","2"
"flyo-prodg","6"
"flyo-prodd","6"
"fw-aol2","8"
"fw-no120-sacre-eds-lbm--pra","0"
"ah2-rapp-00s401-01sg8100","0"
"rqw-cored","12"
"rqw-coreg","10"
"fw-no380-pra-ada-010","22"
"seq-11n-1a6","2"
"cata-ch2-00s-6cc","0"
"pralbmomms02","0"
"ach1glblcch01","0"
"pralbmomms01","0"
"ah3-ctxt-fw-cifwsm-ach-sfr9c-101","0"
"seq-d2d-2a7","2"
"ach1glblcch02","0"
"rc-rouen-msc","0"
"fw-no385-rss-rapi-010","8"
"fzac-asabib","0"
"rcsw-acgi01-ace-se","0"
"rpar-spoke-1","38"
"rpar-spoke-2","38"
"atop-00t209-04aas2424","22"
"ah4-dmzp-00t107-01bp8610","17"
"rcsw-ch2bb02","0"
"rcsw-ch2bb01","0"
"rc-bron2","4"
"seq-03n-1a6","2"
"rc-bron1","3"
"ah2-dmzp-00t202-01bp8610","1"
"prcvpmod02","0"
"prcvpmod01","0"
"ah2-appp-00t101-01bp8610","17"
"rc-lbm-00p1c1-01","7"
"rc-puget1","6"
"flyo-psie-int","3"
"f9tv-be-d1-2","9"
"atop-00t209-03aas2424","22"
"rc-bron4","4"
"f9tv-be-d1-1","9"
"rc-bron3","8"
"rcbv-aol-vpn-1","6"
"rbdx-spoke-2","38"
"a8rxlyo001lc7301","8"
"ralpes-bur-ad3","8"
"rbdx-spoke-1","38"
"ah3-rapp-00s401-02as2424","41"
"fw-ravd1","18"
"fw-ravd2","18"
"rc-metz3","0"
"fcbv-sav-ccord-g","37"
"atop-00t209-03bp8610","4"
"fcbv-sav-ccord-d","37"
"rc-metz1","2"
"rdf-054-1a6","2"
"atoi-00sb02-02aas2424","0"
"ah2-rapp-00s401-01c6509","3"
"fw-ac1","8"
"fw-ac2","8"
"ah3-ctxt-fw-cifwsm-ach-passp-101","0"
"ch2-00s-2c2","0"
"ah2-rapp-00s401-02c6509-fwsm","0"
"ah2-ctxt-fw-cifwsm-ach-vpnpp2-101","0"
"ah2-appp-00t202-01bp8610","1"
"rc-lefoullon2","2"
"rbdx-lac-g-1","12"
"rbdx-lac-g-3","12"
"rbdx-lac-g-2","12"
"atop-00t209-01bp8610","16"
"rc-lefoullon1","4"
"seq-25s-1a6","2"
"seq-20n-1a6","2"
"ah2-rapp-00s401-01c6509-pra-fwsm","0"
"fw-fnfg200a-riv-exo-001","35"
"fw-fnfg200a-riv-exo-002","35"
"rdf-031-2a6","2"
"prapxdzp01","0"
"l40-r1a-1a6","0"
"seq-13n-1a6","2"
"prapxdzp02","0"
"rc-rennes-ss1","5"
"rc-rennes-ss2","4"
"rc-la-seyne-msc","0"
"rc-toulouse2","7"
"rc-rennes-ss3","0"
"rc-toulouse1","4"
"rc-lyon-corbas","0"
"pro-00t2-01al6602-1","1"
"pra-rc-ah2-rapp-00twan-ci7204","0"
"rc-rss00si-b7-01","1"
"bc2-00a-2bp","3"
"mas-02lc1-01bp1624","1"
"rdf-1s3-1a6","2"
"ah2-rapp-00s401-02c6509-fwsm-admin","0"
"rcbv-core","59"
"rcsw-chgi02","0"
"rcsw-chgi01","0"
"seq-05n-1a6","2"
"ah3-appp-00t101-02bp8610","19"
"ah3-dmzp-00t102-01bp8610","17"
"ah3-adm-00t101-01bp8610","17"
"fpar-spoke-be","4"
"atop-sp-00t209-02as2424","0"
"slk-00s-1bp","1"
"ah2-ctxt-fw-cifwsm-ach-mutp-101","0"
"ralpes-bur-ag3","8"
"ch2-00s-17c2","0"
"she-00a-1bp","1"
"seq-16s-1a6","2"
"ah2-ctxt-fw-cifwsm-ach-smtpp-101","0"
"seq-21n-1a6","2"
"ach1glbl02","0"
"ach1glbl01","0"
"rc-defense14","19"
"seq-d2b-1a6","2"
"rcbv-nagra-mg-d","10"
"rcbv-nagra-mg-g","10"
"seq-09s-1a6","2"
"rc-dijon-msc-new","2"
"fw-no380-rdf-pkip-020","0"
"rc-lbm9","60"
"rc-bordeaux-msc","0"
"rc-ah2-00wan-sat1","0"
"a8rxcha001mc2602","2"
"a8rxcha001mc2601","2"
"rc-lbm5","2"
"rdf-003-1a6","2"
"ah3-ctxt-fw-cifwsm-ach-distp-101","0"
"ch2-00s-12c2","0"
"prcfwovis01","0"
